id,condition,AttentionCheckQ,Question1Q,Question2Q,Question3Q,Question4Q,Question5Q,Question7Q,Question8Q,Question9Q,Question10Q,Question11Q,Question12Q,Question13Q,Question14Q,Question1Qerror,Question2Qerror,Question3Qerror,Question4Qerror,Question5Qerror,Question7Qerror,Question8Qerror,Question9Qerror,Question10Qerror,Question11Qerror,Question12Qerror,Question13Qerror,Question14Qerror,PostQ1,PostQ2,PostQ3,PostQ4,Question1Q_counter,Question2Q_counter,Question3Q_counter,Question4Q_counter,Question5Q_counter,Question7Q_counter,Question8Q_counter,Question9Q_counter,Question10Q_counter,Question11Q_counter,Question12Q_counter,Question13Q_counter,Question14Q_counter,Question1Q_timer,Question2Q_timer,Question3Q_timer,Question4Q_timer,Question5Q_timer,Question7Q_timer,Question8Q_timer,Question9Q_timer,Question10Q_timer,Question11Q_timer,Question12Q_timer,Question13Q_timer,Question14Q_timer,Question1Q_timerfirst,Question2Q_timerfirst,Question3Q_timerfirst,Question4Q_timerfirst,Question5Q_timerfirst,Question7Q_timerfirst,Question8Q_timerfirst,Question9Q_timerfirst,Question10Q_timerfirst,Question11Q_timerfirst,Question12Q_timerfirst,Question13Q_timerfirst,Question14Q_timerfirst
AURYD2FH3FUOQ,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,2,1,1,0,4,0,1,0,4,4,3,3,1,1,2,4,1,3,2,9,1,9,1,2,1,29031,27233,47383,144005,23452,105649,61337,118348,35141,139414,28158,41083,15699,29031,27233,25385,63030,23452,45944,56836,36786,35141,62521,28158,19553,15699
A2VN3OJKI3R6HE,secstream,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,NaN,2,0,0,0,4,4,4,3,1,1,1,1,1,1,1,1,0,2,1,1,1,30887,41286,15972,17261,26400,21896,30353,29770,300011,73354,23285,23840,14549,30887,41286,15972,17261,26400,21896,30353,29770,300011,42923,23285,23840,14549
A5V3ZMQI0PU3F,treemap,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,2,2,1,1,1,2,1,0,4,0,1,0,2,1,2,3,3,4,5,3,4,3,5,4,1,13,1,4,1,292204,157644,300008,161788,300007,284438,300008,300008,41853,300007,57284,300007,30832,169444,93393,66456,73803,135633,227519,96471,125914,41853,126536,57284,78068,30832
A2JCK494NV7TFX,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,0,1,0,0,3,0,0,0,4,4,4,4,1,1,1,3,1,1,3,1,1,8,1,1,1,33344,18958,20246,33095,17823,15459,56903,17344,18524,127078,22373,22865,27664,33344,18958,20246,19845,17823,15459,20389,17344,18524,41798,22373,22865,27664
A26UIS59SY4NM6,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,3,1,1,1,0,1,5,1,2,2,2,1,4,4,1,3,6,4,4,3,3,1,4,7,2,7,13,31832,68491,152101,144813,88343,76626,81788,57808,81709,86292,65744,111131,109779,31832,30624,74160,69373,76647,47225,72221,57808,63859,58374,39541,34396,40934
A3SKEW89V5S0DI,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,3,4,2,2,2,3,10,4,1,1,12716,29476,48512,46916,55703,30162,46205,39622,58386,101200,51225,24128,10936,12716,29476,48512,24403,12215,22292,23094,36482,46356,58717,23291,24128,10936
A2AO7QP5THYKQF,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,1,0,2,0,0,1,5,2,1,1,2,1,2,2,2,1,1,2,1,3,1,1,3,7,7,4,5,63429,33185,19909,57473,23617,97558,66558,26987,57916,128395,70601,61176,66627,29039,33185,19909,32450,23617,64310,66558,26987,49962,36705,28833,34734,17839
AL3UGBNTPA0I7,secstream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,5,1,1,3,1,1,2,1,1,1,1,5,11,5,13,5,1,8,3,5,7,2,2,3,113187,88661,82418,142233,69555,42170,86011,80572,92177,109566,33402,46747,42779,88996,26454,37787,37280,17747,42170,59182,58645,78929,59317,29410,42812,23973
A347XXV5JH19PB,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3,0,2,1,2,2,4,1,1,0,2,2,1,2,1,1,16,5,1,4,2,3,4,7,2,3,1,16900,16195,105171,60829,15744,32231,43233,101365,22588,75602,26302,29610,13010,16900,16195,16135,45631,15744,21241,39335,87734,12150,28123,20760,18056,13010
A320BT7PLIQVZT,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,0,0,3,5,0,2,3,2,2,2,2,1,1,2,2,3,2,1,1,4,6,1,4,4,25608,40860,35486,57536,41798,24859,23495,15087,17749,22473,47617,45313,9638,25608,40860,33086,54108,31733,21198,23495,15087,12351,12315,47617,37325,5008
AHV4U78TUUDKI,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,3,1,1,2,4,4,4,4,1,2,1,2,1,1,5,1,1,10,2,2,5,38081,25186,24202,32773,22659,26321,85504,17526,35248,198337,51351,34296,70291,38081,20065,24202,23928,22659,26321,33307,17526,35248,59846,35600,22596,28514
AIPHJXQEDNW9L,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,1,4,1,0,1,4,4,4,2,1,1,1,1,3,1,3,1,2,8,3,1,3,38692,14325,16154,20317,36630,24954,51575,22936,19651,78509,27770,21484,36914,38692,14325,16154,20317,23144,24954,29172,22936,17722,23640,22501,21484,25160
A2HHKBW8HQWI66,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,0,0,1,2,0,2,5,3,1,3,4,4,4,4,1,3,2,1,1,3,5,1,4,5,8,2,5,85789,60716,98434,28747,17787,38288,29690,69591,108756,62639,104049,39810,36842,85789,37699,23450,28747,17787,30171,18610,69591,101685,29513,36430,29498,18248
A2EOOF9D135HQ1,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,4,2,1,0,0,3,1,1,0,3,4,3,3,2,4,1,3,6,2,2,1,1,7,2,3,1,64275,52007,29080,36318,76742,54381,27853,21414,35733,64039,26510,24941,37734,50741,19033,29079,22678,44374,44237,20686,21414,35733,21742,22654,20294,37734
ARLGZWN6W91WD,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,1,5,1,0,0,2,1,2,2,2,3,2,1,1,4,1,1,4,7,3,1,1,24433,49625,29694,30755,15081,61390,48272,18186,55123,55511,33210,18829,23766,12424,25464,26379,30755,15081,25694,48272,18186,45660,34844,25122,18829,23766
AOSLTO4W2A476,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,4,1,1,0,2,3,2,3,1,2,7,3,1,1,2,1,1,10,2,2,1,42898,40289,160963,69840,37000,25508,34606,22627,28860,287044,144964,59355,28302,42897,37262,27498,22858,37000,25508,25487,22627,28860,84974,125127,46992,28302
A3FHFGC3V9B3OJ,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,3,0,0,0,4,5,4,4,1,1,1,1,2,2,2,3,1,5,1,1,1,31489,34482,47357,36679,102443,156306,81819,133498,62305,260259,59811,41385,27937,31489,34482,47357,36679,62377,81610,40827,81771,62305,69029,59811,41385,27937
A3NAHN61XJ3ZAT,stream,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,2,0,5,0,1,0,4,4,2,2,1,2,3,1,2,1,1,4,1,3,1,2,1,37629,89623,55281,39548,36120,43228,52793,181991,39775,300021,123326,35443,47813,37629,29234,44753,39548,32034,43228,52793,63249,39775,55683,123326,30332,47813
A2K1K7ALOS8YIN,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,4,0,0,1,4,5,3,5,1,1,1,1,1,1,1,2,1,8,1,1,2,24952,13465,42309,23467,45216,37487,36628,50188,23983,96610,60527,26512,24191,24952,13465,42309,23467,45216,37487,36628,28527,23983,45192,60527,26512,20316
A12HZGOZQD5YK7,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,4,5,5,4,1,1,1,1,1,2,2,1,1,1,2,2,1,28357,34972,39922,30774,19278,92728,252251,46629,43801,76550,58330,70897,37287,28357,34972,39922,30774,19278,50426,232842,46629,43801,76550,55026,29769,37287
AT116456PANMW,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,2,0,0,0,1,3,0,1,3,4,3,4,4,1,4,3,2,4,1,1,1,2,7,1,2,5,39878,103666,60092,37614,56203,66844,47365,45666,39098,165637,41441,27230,35805,39878,87967,52286,33165,40416,66844,47365,45666,35783,142528,41441,23926,17853
A127F80LLYOQ22,treemap,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,0,1,4,1,0,2,3,2,3,4,3,2,1,4,1,2,4,1,2,9,3,1,5,34133,22374,22664,31390,12015,35065,31205,22556,25633,75336,39750,16403,35329,17811,18854,22664,20165,12015,26638,18694,22556,21269,26633,22066,16403,21229
ACGZDI611LU0I,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,0,0,3,1,0,0,5,5,4,4,1,1,6,1,3,3,2,1,1,3,2,1,1,39595,19651,70341,39652,61258,53973,61707,38177,18761,83212,37660,23963,40582,39595,19651,38065,39652,32424,39466,40414,38177,18761,47149,35504,23963,40582
A1HI9B1MMCMVAZ,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,1,0,2,0,5,2,4,3,3,3,4,7,3,36,3,4,3,2,1,3,1,6,5,5,43620,29269,204081,27093,24997,27608,19852,22633,35754,36166,61062,66001,29325,22004,22041,28497,20045,15163,20830,14477,22633,26601,36166,40877,18605,13109
A2BM4OQ4QLFF8I,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,2,4,4,5,1,2,1,1,1,1,1,1,3,2,11,1,1,22723,27530,14075,34843,13876,19571,18858,15316,38627,65426,134999,17741,21602,22723,16379,14075,34843,13876,19571,18858,15316,26443,24258,23035,17741,21602
A1Y25W1Y7KDE5,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,3,0,0,4,1,0,0,2,2,1,1,1,1,1,1,1,2,7,1,1,7,2,1,1,23923,24724,31650,44970,27333,97575,80182,69191,37418,168081,48650,23802,14885,23923,24723,31650,44969,27333,94176,54118,69191,37418,94666,28763,23802,14885
AP7BOM5KUH8KV,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,3,1,0,0,4,4,4,4,1,1,1,2,1,1,2,1,1,7,6,1,1,8602,8828,6947,15319,9732,9013,22428,8488,10430,57479,34775,9715,11835,8602,8828,6947,6637,9732,9013,20675,8488,10430,20724,13690,9715,11835
A21HDHQPENLF2X,treemap,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,1,2,0,0,NaN,0,2,1,0,0,4,4,3,3,1,2,3,2,3,1,1,0,1,2,2,1,1,10797,36317,35739,35325,48904,20622,73632,300286,111400,43711,122224,25041,9152,10797,26654,16260,32238,22829,20622,73632,300286,111400,17384,110072,25041,9152
A3B7TNVOISSZ2O,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,5,1,0,0,4,4,4,4,1,2,1,1,1,1,1,8,1,6,2,1,1,24959,17323,13042,31762,14946,29047,32071,180865,16064,71400,33330,21907,16741,24959,11024,13042,31762,14946,29047,32071,47520,16064,18922,21922,21907,16741
AXMPSUNKUBEIL,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,4,4,4,3,1,1,1,1,1,1,2,1,1,1,7,1,1,22154,26867,28191,65681,21864,31213,116768,25716,38698,53176,68876,21954,16875,22154,26867,28191,65681,21864,31213,108273,25716,38698,53176,33038,21954,16875
A3NF9B2NLCLZWT,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,2,4,1,1,0,1,4,4,0,1,1,1,1,1,3,2,1,3,4,3,2,1,2,2,5,1,2,57463,61707,26121,91081,75595,127949,62434,48302,58665,64638,89821,27620,42054,42092,44201,26121,45854,40262,57194,48498,48302,49189,33577,38272,27620,26122
A3DTBL9NV7SDQC,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,2,0,1,1,6,0,0,0,5,4,5,4,2,3,10,2,4,4,1,2,2,6,1,1,1,59026,37861,96320,28060,67156,60498,27428,40138,40942,110404,24948,22983,27508,53586,26451,44669,22773,31356,40856,27428,34338,34692,53785,24948,22983,27508
A3RLCGRXA34GC0,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,4,4,4,4,1,1,1,1,1,1,5,1,1,1,2,6,1,18982,23335,22647,25408,18727,35991,80693,35502,24238,72294,35415,110176,12751,18982,23335,22647,25408,18727,35991,48509,35502,24238,72294,27109,30255,12751
ANVAFB99K5RKP,treemap,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,22590,17367,15895,139267,19053,32927,300577,47122,26061,50262,111932,243312,16229,22590,17367,15895,139267,19053,32927,274199,47122,26061,50262,31662,243312,16229
A3U6IA3JUSFZ2M,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,0,0,0,0,4,1,1,1,2,3,3,2,3,2,1,2,4,1,1,1,1,7,2,2,2,43139,53829,19733,72654,44875,44563,32294,35053,25150,45722,40074,36067,31900,29405,45775,19733,66253,25467,44563,32294,35053,25150,15657,31570,27692,18660
AZNIEFUIVB2H0,treemap,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,5,1,1,0,4,4,3,2,1,1,2,1,1,1,1,2,1,6,2,2,1,83922,52864,110661,67718,48047,102315,80629,82546,86594,300755,54179,73387,32224,83922,52863,26198,67717,48047,102315,80629,61452,86594,124071,49413,40427,32224
A1TFWB4P6PXA3M,treemap,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,3,6,1,3,3,4,5,4,4,5,2,2,12,2,2,2,3,4,24,2,4,5,15984,10164,6279,13173,9442,8599,5224,7025,9018,35515,5320,9372,11470,2026,2352,2704,3446,6913,4798,2289,2511,2709,5390,2558,2345,1952
A3AGJSGD009WMM,treemap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,5,1,1,1,2,2,2,1,1,1,1,10,1,1,2,1,1,14,2,2,2,50331,49907,33673,246240,22982,63003,123830,33081,68372,198575,81668,86379,55139,50331,49907,33673,28721,22982,63003,66036,33081,68372,53151,49733,67876,35801
A289DF24X3Q8JZ,stream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,0,2,3,2,1,2,1,1,1,1,3,4,2,3,5,2,3,1,4,8,4,2,5,11963,8195,10289,10291,24938,10523,9141,8576,22355,14177,99047,11896,11020,8231,3893,8341,5272,7307,7386,5747,8576,17027,2297,93110,9755,2476
A1QX1RYLCFXZJ9,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6,1,1,4,2,2,1,2,3,11,3,2,3,2,16,1,1,8,2,2,8,28310,122476,27814,33519,32914,19892,133701,17549,20592,59793,16799,38648,66093,17839,17871,11175,21451,22317,16281,11955,17549,20592,24462,12674,16903,14951
A1U7AAKEZ4YXZD,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,2,2,0,5,1,2,2,4,4,4,4,2,1,2,4,1,2,2,2,1,31,2,4,3,40706,25128,29291,35299,26703,27668,36153,38763,58177,288975,31633,77271,125567,13419,25128,13532,13672,26703,22427,22846,18502,58177,27511,24858,33242,22258
A1ONILGBGJ8Y5K,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,0,5,0,1,1,1,5,1,1,3,1,1,1,1,1,1,7,1,5,1,2,6,4,12,2,2,5,20760,39593,56571,39977,119328,33981,51084,59262,40333,164237,26782,22575,39828,20760,39593,37788,39977,36098,33981,34569,25130,28551,60611,21797,12895,24964
A17D6BK59S31BM,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,2,0,1,5,1,3,2,4,2,3,3,2,6,2,3,2,2,3,1,3,8,2,5,3,12477,23095,12847,12231,10288,17206,12578,4620,12868,50615,12229,22229,12511,9557,6697,9834,5504,7632,13626,6917,4620,6906,19481,9515,9171,7101
A3P2LT53J1GUBG,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0,4,4,3,4,1,1,2,3,1,1,2,1,1,5,1,2,1,20224,27391,59384,48983,35415,18636,29302,20486,38127,56095,39432,23103,17542,20224,27391,47055,22085,35415,18636,17541,20486,38127,44781,39432,17302,17542
A1ET2J1PIP0RGO,stream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,5,1,3,4,0,1,2,2,2,2,2,2,3,1,3,1,4,5,2,5,9,1,4,6,30170,47661,26877,59563,38216,41431,64796,41833,68105,92110,41264,49143,34008,20775,22876,26877,28031,38216,30005,48228,28940,54910,44917,41264,32393,18724
A26K8OELA8ZDI9,stream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,4,0,2,1,2,1,2,2,3,3,2,2,6,2,3,7,1,9,1,5,4,6,2,80232,52634,125043,67313,31953,145124,53354,137827,42955,78231,114024,60210,52911,56815,50420,45200,64925,28316,54707,53354,27073,42955,67503,82184,28898,36491
A20NITCOBY4775,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,2,1,5,1,0,0,1,1,3,4,1,2,2,4,1,1,1,3,2,10,4,1,1,41310,33498,102480,108162,33558,33760,24798,62874,105607,152928,77139,30089,24611,41310,28415,76676,56336,33558,33760,24798,41135,98321,30489,45844,30089,24611
A2L366NNL1YG5W,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,0,1,2,2,1,0,0,6,1,2,3,1,1,3,3,7,2,1,6,3,4,11,1,1,15,3,5,5,82245,34608,9565,59551,35172,36321,131259,44341,24035,186213,30060,53502,33964,39464,26384,9565,24112,16388,21819,8337,44341,24035,86010,15795,28351,18943
A2HXTXD0IMKUN0,stream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,0,1,3,1,3,3,3,2,2,4,1,3,7,2,9,2,1,1,2,4,2,3,5,39485,79256,136493,51975,121933,42340,31168,24643,40888,106332,42146,96209,129388,39485,36242,25600,40630,39303,32809,31168,24643,32154,93903,39359,47574,70784
A2EA2PN47ZWILX,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,0,0,0,4,0,1,1,4,4,3,4,2,2,5,2,3,3,1,1,1,7,1,2,4,37250,22337,93544,35009,32102,39450,22266,11057,21636,58127,12979,21414,25615,34062,18958,66875,30798,25346,31455,22266,11057,21636,41097,12979,18429,15994
A1LTRUIMP3O0HG,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,4,5,1,1,1,1,1,1,1,1,1,2,2,2,1,18541,15065,16121,20648,37488,26954,68093,26543,20326,48146,42358,56769,20727,18541,15065,16121,20648,37488,26954,68093,26543,20326,31661,22708,21032,20727
A2GK75ZQTX2RDZ,secstream,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,0,1,0,3,2,1,2,4,5,4,3,3,2,6,2,3,4,1,11,1,17,3,2,3,96176,63485,175721,57956,67494,111349,31462,241736,38333,283984,117534,58825,54244,47394,39168,39770,35285,33299,50041,31462,42726,38333,32706,78146,31556,24714
A2SJC9VRBGNC58,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,0,1,2,2,0,0,2,2,2,2,4,8,5,4,3,4,2,1,2,5,3,1,1,26334,37878,28854,42438,38175,19006,21942,19535,26222,42165,17382,19223,25926,15494,7790,14670,23126,31238,7062,18302,19535,22470,18949,10038,19223,25926
A29VL3MZE7YPBZ,secstream,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,3,2,4,0,0,5,4,0,2,4,2,2,2,2,2,1,1,7,4,6,1,1,7,10,1,5,58905,24824,25393,22655,39778,45187,34396,26302,21667,75375,54849,23053,23506,20849,15446,25393,22655,19143,21567,21383,26302,21667,23262,29699,23053,11670
